ID,Street Sign,Street Address,Sign Condition,Number of Tiles Damaged,Photo 1,Photo 2,Photo 3,Photo 4,Photo 5,latitude,longitude
69,Calle D'San Luis,"501 Royal St, New Orleans, LA 70130",Good Condition,0,Inventory_Images/69.Photo 1.134921.jpg,Inventory_Images/69.Photo 2.134921.jpg,Inventory_Images/69.Photo 3.134921.jpg,,,29.956557,-90.066119
71,Calle D'San Luis,"500 Chartres St, New Orleans, LA 70130",Faded/Cracked Polish,4,Inventory_Images/71.Photo 1.134938.jpg,Inventory_Images/71.Photo 2.134938.jpg,,,,29.955862,-90.065095
72,Calle Del Tolosa,"601 Bourbon St, New Orleans, LA 70130",Faded/Cracked Polish,4,Inventory_Images/72.Photo 1.135730.jpg,Inventory_Images/72.Photo 2.135730.jpg,,,,29.9579417,-90.0663727
73,Calle Del Tolosa,"906 Toulouse St, New Orleans, LA 70112",Faded/Cracked Polish,6,Inventory_Images/73.Photo 1.135751.jpg,Inventory_Images/73.Photo 2.135751.jpg,,,,29.95841565,-90.06742634
74,Calle D'Bourbon,"610 Bourbon St, New Orleans, LA 70130",Faded/Cracked Polish,5,Inventory_Images/74.Photo 1.134334.jpg,Inventory_Images/74.Photo 2.134334.jpg,,,,29.95793085,-90.06608499
75,Calle Del Tolosa,"1000 Toulouse St, New Orleans, LA 70112",Falling Apart,18,Inventory_Images/75.Photo 1.135807.jpg,Inventory_Images/75.Photo 2.135807.jpg,,,,29.95903,-90.068314
100,Avda D' La Explanada,"906 Esplanade Ave, New Orleans, LA 70116",Falling Apart,10,Inventory_Images/100.Photo 1.160814.jpg,Inventory_Images/100.Photo 2.185706.jpg,Inventory_Images/100.Photo 3.161009.jpg,Inventory_Images/100.Photo 4.185706.jpg,Inventory_Images/100.Photo 5.185706.jpg,29.9645132,-90.0620571
101,Calle D'Bourbon,"1350 Bourbon St, New Orleans, LA 70116",Falling Apart,13,Inventory_Images/101.Photo 1.161607.jpg,Inventory_Images/101.Photo 2.161607.jpg,Inventory_Images/101.Photo 3.161643.jpg,,,29.96363414,-90.06105386
102,Calle Del Cuartel,"1301 Royal St, New Orleans, LA 70116",Faded/Cracked Polish,9,Inventory_Images/102.Photo 1.164500.jpg,Inventory_Images/102.Photo 2.164500.jpg,,,,29.96294435,-90.06045241
103,Calle D'Bourbon,"1228 Bourbon St, New Orleans, LA 70116",Falling Apart,18,Inventory_Images/103.Photo 1.165016.jpg,Inventory_Images/103.Photo 2.165016.jpg,Inventory_Images/103.Photo 3.165016.jpg,,,29.96300175,-90.0614773
104,Calle Real,"214 Royal St, New Orleans, LA 70130",Faded/Cracked Polish,18,Inventory_Images/104.Photo 1.174849.jpg,Inventory_Images/104.Photo 2.174849.jpg,Inventory_Images/104.Photo 3.174849.jpg,,,29.95418814,-90.067944
105,Calle D La Auduana,"214 Royal St, New Orleans, LA 70130",Faded/Cracked Polish,12,Inventory_Images/105.Photo 1.175044.jpg,Inventory_Images/105.Photo 2.175044.jpg,,,,29.95418814,-90.067944
107,Camino Real Muelle,"619 Decatur St, New Orleans, LA 70130",Graffiti,8,Inventory_Images/107.Photo 1.181608.jpg,Inventory_Images/107.Photo 2.181608.jpg,,,,29.9565842,-90.0633521
108,Calle D'Santa Ana,"751 Chartres St, New Orleans, LA 70130",Falling Apart,18,Inventory_Images/108.Photo 1.182617.jpg,Inventory_Images/108.Photo 2.182617.jpg,Inventory_Images/108.Photo 3.182617.jpg,,,29.95821885,-90.06336488
109,Calle D'Conde,"839 Chartres St, New Orleans, LA 70116",Faded/Cracked Polish,18,Inventory_Images/109.Photo 1.183312.jpg,Inventory_Images/109.Photo 2.183314.jpg,Inventory_Images/109.Photo 3.183314.jpg,,,29.95883968,-90.06264057
110,Calle D'Conde,"903 Chartres St, New Orleans, LA 70116",Falling Apart,18,Inventory_Images/110.Photo 1.183508.jpg,Inventory_Images/110.Photo 2.183508.jpg,Inventory_Images/110.Photo 3.183508.jpg,,,29.9591807,-90.0623748
200,Calle D'Bourbon,"1028 Bourbon St, New Orleans, LA 70116",Faded/Cracked Polish,6,Inventory_Images/200.Photo 1.193320.jpg,Inventory_Images/200.Photo 2.193320.jpg,Inventory_Images/200.Photo 3.193320.jpg,,,29.9614571,-90.06291584
202,Calle D'Conde,"1001 Chartres St, New Orleans, LA 70116",Faded/Cracked Polish,12,Inventory_Images/202.Photo 1.201935.jpg,Inventory_Images/202.Photo 2.201935.jpg,Inventory_Images/202.Photo 3.201935.jpg,,,29.959976,-90.061653
203,Calle D'Chartres,"620 Chartres St, New Orleans, LA 70116",Faded/Cracked Polish,11,Inventory_Images/203.Photo 1.204319.jpg,Inventory_Images/203.Photo 2.204319.jpg,Inventory_Images/203.Photo 3.204319.jpg,,,29.9570093,-90.0641013
205,Calle Del Tolosa,"540 Chartres St, New Orleans, LA 70130",Good Condition,10,Inventory_Images/205.Photo 1.204918.jpg,Inventory_Images/205.Photo 2.204918.jpg,Inventory_Images/205.Photo 3.204918.jpg,,,29.9564879,-90.064595
206,Calle D'Chartres,"621 St Louis St, New Orleans, LA 70130",Falling Apart,18,Inventory_Images/206.Photo 1.205255.jpg,Inventory_Images/206.Photo 2.205255.jpg,Inventory_Images/206.Photo 3.205255.jpg,,,29.95630885,-90.06568766
207,Calle D'Chartres,"328 Chartres St, New Orleans, LA 70130",Falling Apart,18,Inventory_Images/207.Photo 1.210133.jpg,Inventory_Images/207.Photo 2.210133.jpg,Inventory_Images/207.Photo 3.210133.jpg,,,29.9546972,-90.06609785
210,Plaza D'Armas,"Jackson Square, New Orleans, LA 70116",Faded/Cracked Polish,18,,,,,,29.95746725,-90.06294988
